matrix, threads, schedules type, chunk size, time (ms)
../data/twotone.mtx, 1, seq, NULL, 0.967979
../data/twotone.mtx, 1, seq, NULL, 0.894785
../data/twotone.mtx, 1, seq, NULL, 0.951052
../data/twotone.mtx, 1, seq, NULL, 0.813007
../data/twotone.mtx, 1, seq, NULL, 0.828028
../data/twotone.mtx, 2, static, 1, 1.636982
../data/twotone.mtx, 2, static, 1, 1.675844
../data/twotone.mtx, 2, static, 1, 1.906872
../data/twotone.mtx, 2, static, 1, 1.556873
../data/twotone.mtx, 2, static, 1, 1.950026
../data/twotone.mtx, 2, static, 10, 1.393080
../data/twotone.mtx, 2, static, 10, 1.166105
../data/twotone.mtx, 2, static, 10, 1.232147
../data/twotone.mtx, 2, static, 10, 1.385927
../data/twotone.mtx, 2, static, 10, 1.550913
../data/twotone.mtx, 2, static, 100, 1.204014
../data/twotone.mtx, 2, static, 100, 1.202106
../data/twotone.mtx, 2, static, 100, 1.154900
../data/twotone.mtx, 2, static, 100, 1.115084
../data/twotone.mtx, 2, static, 100, 1.067877
../data/twotone.mtx, 2, static, 1000, 1.080990
../data/twotone.mtx, 2, static, 1000, 1.034975
../data/twotone.mtx, 2, static, 1000, 1.163960
../data/twotone.mtx, 2, static, 1000, 1.265049
../data/twotone.mtx, 2, static, 1000, 0.797987
../data/twotone.mtx, 2, static, 10000, 1.432896
../data/twotone.mtx, 2, static, 10000, 1.047134
../data/twotone.mtx, 2, static, 10000, 1.174927
../data/twotone.mtx, 2, static, 10000, 1.370907
../data/twotone.mtx, 2, static, 10000, 1.141071
../data/twotone.mtx, 2, dynamic, 1, 6.792068
../data/twotone.mtx, 2, dynamic, 1, 6.944895
../data/twotone.mtx, 2, dynamic, 1, 6.813049
../data/twotone.mtx, 2, dynamic, 1, 5.574942
../data/twotone.mtx, 2, dynamic, 1, 6.450891
../data/twotone.mtx, 2, dynamic, 10, 1.301050
../data/twotone.mtx, 2, dynamic, 10, 1.441002
../data/twotone.mtx, 2, dynamic, 10, 1.394987
../data/twotone.mtx, 2, dynamic, 10, 1.550913
../data/twotone.mtx, 2, dynamic, 10, 1.507044
../data/twotone.mtx, 2, dynamic, 100, 0.988007
../data/twotone.mtx, 2, dynamic, 100, 0.919819
../data/twotone.mtx, 2, dynamic, 100, 0.944853
