matrix, threads, schedules type, chunk size, time (ms)
../data/twotone.mtx, 1, static, 1, 1.586914
../data/twotone.mtx, 1, static, 1, 1.649141
../data/twotone.mtx, 1, static, 1, 1.500130
../data/twotone.mtx, 1, static, 1, 1.621962
../data/twotone.mtx, 1, static, 1, 1.526833
../data/twotone.mtx, 1, static, 1, 1.574993
../data/twotone.mtx, 1, static, 1, 1.649857
../data/twotone.mtx, 1, static, 1, 1.630068
../data/twotone.mtx, 1, static, 1, 1.989841
../data/twotone.mtx, 1, static, 1, 1.530170
../data/twotone.mtx, 1, static, 10, 1.664162
../data/twotone.mtx, 1, static, 10, 1.631975
../data/twotone.mtx, 1, static, 10, 1.900911
../data/twotone.mtx, 1, static, 10, 1.843929
../data/twotone.mtx, 1, static, 10, 1.465082
../data/twotone.mtx, 1, static, 10, 1.468182
../data/twotone.mtx, 1, static, 10, 1.621962
../data/twotone.mtx, 1, static, 10, 1.508951
../data/twotone.mtx, 1, static, 10, 1.617908
../data/twotone.mtx, 1, static, 10, 1.463175
../data/twotone.mtx, 1, static, 100, 1.465797
../data/twotone.mtx, 1, static, 100, 1.482964
../data/twotone.mtx, 1, static, 100, 1.461029
../data/twotone.mtx, 1, static, 100, 1.532793
../data/twotone.mtx, 1, static, 100, 1.482010
../data/twotone.mtx, 1, static, 100, 1.493216
../data/twotone.mtx, 1, static, 100, 1.528025
../data/twotone.mtx, 1, static, 100, 1.515865
../data/twotone.mtx, 1, static, 100, 1.510143
../data/twotone.mtx, 1, static, 100, 1.469851
../data/twotone.mtx, 1, dynamic, 1, 1.486063
../data/twotone.mtx, 1, dynamic, 1, 1.467943
../data/twotone.mtx, 1, dynamic, 1, 1.567841
../data/twotone.mtx, 1, dynamic, 1, 1.478195
../data/twotone.mtx, 1, dynamic, 1, 1.502037
../data/twotone.mtx, 1, dynamic, 1, 1.492977
../data/twotone.mtx, 1, dynamic, 1, 1.528025
../data/twotone.mtx, 1, dynamic, 1, 1.590014
../data/twotone.mtx, 1, dynamic, 1, 1.527071
../data/twotone.mtx, 1, dynamic, 1, 1.487017
../data/twotone.mtx, 1, dynamic, 10, 1.526833
../data/twotone.mtx, 1, dynamic, 10, 1.486063
../data/twotone.mtx, 1, dynamic, 10, 1.492023
../data/twotone.mtx, 1, dynamic, 10, 1.491070
../data/twotone.mtx, 1, dynamic, 10, 1.426935
../data/twotone.mtx, 1, dynamic, 10, 1.570940
../data/twotone.mtx, 1, dynamic, 10, 1.473904
../data/twotone.mtx, 1, dynamic, 10, 1.760960
../data/twotone.mtx, 1, dynamic, 10, 1.471043
../data/twotone.mtx, 1, dynamic, 10, 1.497984
../data/twotone.mtx, 1, dynamic, 100, 1.480103
../data/twotone.mtx, 1, dynamic, 100, 1.487017
../data/twotone.mtx, 1, dynamic, 100, 1.497984
../data/twotone.mtx, 1, dynamic, 100, 1.470089
../data/twotone.mtx, 1, dynamic, 100, 1.568079
../data/twotone.mtx, 1, dynamic, 100, 1.471996
../data/twotone.mtx, 1, dynamic, 100, 1.475096
